Time,Reporter,Type,Content,Screenshot,RTF Note
21.01.2016 12:55:20,Bartłomiej Kaftan,(Rapid Reporter version),"1.12.12.28",,
21.01.2016 12:55:20,Bartłomiej Kaftan,Session Reporter,"Bartłomiej Kaftan",,
21.01.2016 12:55:20,Bartłomiej Kaftan,Session Charter,"Testowanie OragneHRM",,
21.01.2016 12:55:40,Bartłomiej Kaftan,autogenerated,"screenshot saved",1_20160121_125540.jpg,
21.01.2016 12:56:22,Bartłomiej Kaftan,Setup,"Przeglądarka Opera 34.0.2036.42",1_20160121_125540.jpg,
21.01.2016 12:56:51,Bartłomiej Kaftan,Setup,"System operacyjny Windows 10 64-bit",,
21.01.2016 12:57:53,Bartłomiej Kaftan,Test,"Podjęcie próby uruchomienia strony; oraz zalogowania się.",,
21.01.2016 12:58:21,Bartłomiej Kaftan,Note,"Próba zalogowania ukończona sukcesem.",,
21.01.2016 12:58:34,Bartłomiej Kaftan,autogenerated,"screenshot saved",2_20160121_125834.jpg,
21.01.2016 13:01:06,Bartłomiej Kaftan,Test,"Sprawdzenie działania zakładki Admin i jej podkategorii",2_20160121_125834.jpg,
21.01.2016 13:01:10,Bartłomiej Kaftan,autogenerated,"screenshot saved",3_20160121_130109.jpg,
21.01.2016 13:02:45,Bartłomiej Kaftan,Test,"Sprawdzenie możliwości dodawania ról.",3_20160121_130109.jpg,
21.01.2016 13:02:47,Bartłomiej Kaftan,autogenerated,"screenshot saved",4_20160121_130247.jpg,
21.01.2016 13:03:47,Bartłomiej Kaftan,Note,"Istnieje możliwość dodawania ról. Walidacja danych działa poprawnie.",4_20160121_130247.jpg,
21.01.2016 13:04:59,Bartłomiej Kaftan,Test,"Sprawdzenie możliwości wyszukiwania użytkowników.",,
21.01.2016 13:05:45,Bartłomiej Kaftan,Note,"Wyszukiwanie danych działa poprawnie.",,
21.01.2016 13:06:49,Bartłomiej Kaftan,Test,"Sprawdzenie działania przycisku reset.",,
21.01.2016 13:08:32,Bartłomiej Kaftan,autogenerated,"screenshot saved",5_20160121_130832.jpg,
21.01.2016 13:08:34,Bartłomiej Kaftan,Note,"Działanie przycisku reset jest poprawne; czyszczą się odpowiednie pola.",5_20160121_130832.jpg,
21.01.2016 13:10:06,Bartłomiej Kaftan,Setup,"Sprawdzenie możliwości dodawania Job Titles.",,
21.01.2016 13:10:25,Bartłomiej Kaftan,Test,"Sprawdzenie możliwości dodawania tytułu pracy.",,
21.01.2016 13:10:30,Bartłomiej Kaftan,autogenerated,"screenshot saved",6_20160121_131030.jpg,
21.01.2016 13:11:58,Bartłomiej Kaftan,Note,"Istnieje możliwość dodawanianazw prac; niemniej jednak nie ma tutaj odpowiedniej walidacji danych. Przyjmowane są wartości; nie mająca żadnego sens.",6_20160121_131030.jpg,
21.01.2016 13:12:42,Bartłomiej Kaftan,Bug,"Brak walidacji wprowadzanych danych w pozycji Job Titles.",,
21.01.2016 13:13:36,Bartłomiej Kaftan,Test,"test pozycji Add Pay Grade",,
21.01.2016 13:14:29,Bartłomiej Kaftan,Note,"Analogicznie jak wyżej; brak odpowiedniej walidacji.",,
21.01.2016 13:15:00,Bartłomiej Kaftan,Test,"Testowanie Employment Status",,
21.01.2016 13:15:17,Bartłomiej Kaftan,autogenerated,"screenshot saved",7_20160121_131517.jpg,
21.01.2016 13:15:22,Bartłomiej Kaftan,Note,"Analogicznie jak wyżej; brak odpowiedniej walidacji.",7_20160121_131517.jpg,
21.01.2016 13:15:56,Bartłomiej Kaftan,Test,"Sprawdzenie Job Categories",,
21.01.2016 13:16:41,Bartłomiej Kaftan,Note,"Usuwanie danych działa; dodawanie nie kontroluje wprowadzanych danych.",,
21.01.2016 13:17:12,Bartłomiej Kaftan,autogenerated,"screenshot saved",8_20160121_131712.jpg,
21.01.2016 13:17:59,Bartłomiej Kaftan,Test,"Testowanie pozycji Work Shifts",8_20160121_131712.jpg,
21.01.2016 13:19:01,Bartłomiej Kaftan,Note,"W polu shift name przyjmowane są dowolne wartości. Brak odpowiedniej walidacji.",,
21.01.2016 13:20:33,Bartłomiej Kaftan,Test,"Sprawdzamy działanie zakładki PIM.",,
21.01.2016 13:21:17,Bartłomiej Kaftan,Test,"Sprawdzamy działanie podkategorii Configuration",,
